,Player,Tm,Pos,Rec,Rec Yds,Rec TDs,Rushes,Rush Yds,Rush TDs,Pass Yds,Pass TDs,Ints,Standard,Half PPR,PPR
22,Cam Newton,NWE,QB,0.0,0.0,0.0,93.0,510.0,10.3,2288.0,7.0,9.0,214.32,214.32,214.32
23,Ben Roethlisberger,PIT,QB,0.0,0.0,0.0,2.0,9.0,0.0,2945.0,26.0,8.0,206.7,206.7,206.7
24,Ryan Fitzpatrick,WAS,QB,0.0,0.0,0.0,36.0,196.0,3.2,2845.0,16.0,10.0,196.6,196.6,196.6
25,Jameis Winston,NOR,QB,0.0,0.0,0.0,23.0,129.0,1.0,2994.0,18.0,12.0,186.66,186.66,186.66
26,Sam Darnold,CAR,QB,0.0,0.0,0.0,50.0,277.0,2.5,2814.0,11.0,14.0,171.26,171.26,171.26
27,Jared Goff,DET,QB,0.0,0.0,0.0,13.0,69.0,2.8,2771.0,14.0,9.0,172.54,172.54,172.54
28,Zach Wilson,NYJ,QB,0.0,0.0,0.0,21.0,114.0,0.9,2653.0,16.0,11.0,164.92000000000002,164.92000000000002,164.92000000000002
29,Jimmy Garoppolo,SFO,QB,0.0,0.0,0.0,7.0,38.0,0.6,2412.0,16.0,8.0,151.88,151.88,151.88
30,Justin Fields,CHI,QB,0.0,0.0,0.0,17.0,92.0,0.7,2137.0,13.0,8.0,134.88,134.88,134.88
31,Drew Lock,DEN,QB,0.0,0.0,0.0,20.0,110.0,2.1,2015.0,11.0,10.0,128.20000000000002,128.20000000000002,128.20000000000002
32,Tyrod Taylor,HOU,QB,0.0,0.0,0.0,15.0,84.0,0.7,1947.0,11.0,8.0,118.47999999999999,118.47999999999999,118.47999999999999
33,Deshaun Watson,HOU,QB,0.0,0.0,0.0,27.0,148.0,1.0,1606.0,11.0,2.0,125.03999999999999,125.03999999999999,125.03999999999999
34,Andy Dalton,CHI,QB,0.0,0.0,0.0,17.0,95.0,0.0,1816.0,12.0,7.0,116.13999999999999,116.13999999999999,116.13999999999999
35,Trey Lance,SFO,QB,0.0,0.0,0.0,12.0,64.0,0.5,1479.0,9.0,6.0,92.56,92.56,92.56
36,Taysom Hill,NOR,QB,0.0,0.0,0.0,60.0,328.0,5.7,665.0,3.0,1.0,103.6,103.6,103.6
37,Teddy Bridgewater,DEN,QB,0.0,0.0,0.0,16.0,88.0,1.6,1174.0,5.0,3.0,79.36,79.36,79.36
38,Jordan Love,GNB,QB,0.0,0.0,0.0,9.0,48.0,0.4,1121.0,7.0,4.0,72.04,72.04,72.04
39,Mac Jones,NWE,QB,0.0,0.0,0.0,7.0,40.0,0.3,929.0,5.0,4.0,54.96,54.96,54.96
40,Davis Mills,HOU,QB,0.0,0.0,0.0,7.0,39.0,0.3,914.0,5.0,4.0,54.260000000000005,54.260000000000005,54.260000000000005
41,Mitchell Trubisky,BUF,QB,0.0,0.0,0.0,12.0,67.0,0.3,707.0,6.0,3.0,54.78,54.78,54.78
42,Marcus Mariota,LVR,QB,0.0,0.0,0.0,13.0,72.0,0.0,676.0,4.0,1.0,48.24,48.24,48.24
43,Dwayne Haskins,PIT,QB,0.0,0.0,0.0,10.0,55.0,0.0,737.0,4.0,4.0,42.980000000000004,42.980000000000004,42.980000000000004
44,Jacoby Brissett,MIA,QB,0.0,0.0,0.0,5.0,25.0,0.2,592.0,3.0,2.0,35.379999999999995,35.379999999999995,35.379999999999995
45,Brandon Allen,CIN,QB,0.0,0.0,0.0,7.0,39.0,0.0,510.0,3.0,2.0,32.300000000000004,32.300000000000004,32.300000000000004
1,Christian McCaffrey,CAR,RB,101.0,875.0,3.5,250.0,1207.0,13.1,0.0,0.0,0.0,307.79999999999995,358.29999999999995,408.79999999999995
2,Dalvin Cook,MIN,RB,45.0,370.0,1.0,319.0,1594.0,16.4,0.0,0.0,0.0,300.8,323.3,345.8
3,Derrick Henry,TEN,RB,19.0,115.0,0.0,383.0,2052.0,17.2,0.0,0.0,0.0,319.9,329.4,338.9
4,Saquon Barkley,NYG,RB,65.0,546.0,2.5,270.0,1250.0,7.5,0.0,0.0,0.0,239.6,272.1,304.6
5,Alvin Kamara,NOR,RB,64.0,586.0,3.9,145.0,723.0,12.4,0.0,0.0,0.0,228.70000000000002,260.70000000000005,292.70000000000005
6,Jonathan Taylor,IND,RB,39.0,323.0,1.1,250.0,1261.0,11.9,0.0,0.0,0.0,236.4,255.9,275.4
7,Nick Chubb,CLE,RB,20.0,187.0,0.0,237.0,1331.0,15.0,0.0,0.0,0.0,241.79999999999998,251.79999999999998,261.79999999999995
