"Rank","Player","Team","Bye","POS","ESPN","RTSports","Fantrax","FFC","AVG"
"297","Austin Seibert","CIN","10","K26","","","","","198.0"
"298","Sam Ficken","NYJ","6","K27","","","202","","202.0"
"299","Chris Boswell","PIT","7","K28","","","347","","275.5"
"300","Cordarrelle Patterson","ATL","6","WR90","","","206","","206.0"
"301","Dez Fitzpatrick","TEN","13","WR91","","291","242","","266.5"
"302","Pooka Williams Jr.","CIN","10","RB87","","","209","","209.0"
"303","Demetric Felton","CLE","13","WR92","","","210","","210.0"
"304","Chris Herndon IV","NYJ","6","TE36","","257","281","","269.0"
"305","Evan McPherson","CIN","10","K29","","","256","","270.5"
"306","Bryan Edwards","LV","8","WR93","","306","245","","275.5"
"307","Teddy Bridgewater","DEN","11","QB37","","295","305","","292.7"
"308","Pat Freiermuth","PIT","7","TE37","","310","280","","293.7"
"309","Gerrid Doaks","MIA","14","RB88","","","228","","228.0"
"310","Larry Rountree III","LAC","7","RB89","","271","285","","278.0"
"311","Chad Beebe","MIN","7","WR94","","","230","","230.0"
"312","Anthony Schwartz","CLE","13","WR95","","","232","","232.0"
"313","Anthony Miller","HOU","10","WR96","","263","297","","280.0"
"314","Eno Benjamin","ARI","12","RB90","","","235","","235.0"
"315","Tyler Johnson","TB","9","WR97","","","236","","236.0"
"316","Byron Pringle","KC","12","WR98","","305","260","","282.5"
"317","Corey Clement","NYG","10","RB91","","","239","","239.0"
"318","Donovan Peoples-Jones","CLE","13","WR99","","","267","","283.0"
"319","Mo Alie-Cox","IND","14","TE38","","318","249","","283.5"
"320","David Njoku","CLE","13","TE39","","319","314","","298.0"
"321","Justice Hill","BAL","8","RB92","","","241","","241.0"
"322","Royce Freeman","DEN","11","RB93","","","243","","243.0"
"323","Greg Ward","PHI","14","WR100","","","244","","244.0"
"324","Josh Reynolds","TEN","13","WR101","","280","291","","285.5"
"325","Las Vegas Raiders","DST","8","DST26","","","","","245.0"
"326","Tyron Johnson","LAC","7","WR102","","325","247","","286.0"
"327","Travis Fulgham","PHI","14","WR103","","285","287","","286.0"
"328","Tim Patrick","DEN","11","WR104","","266","308","","287.0"
"329","Jake Elliott","PHI","14","K30","","","361","","304.0"
"330","Dazz Newsome","CHI","10","WR105","","","248","","248.0"
"331","Matt Breida","BUF","7","RB94","","314","261","","287.5"
"332","Dan Arnold","CAR","13","TE40","","320","290","","300.7"
"333","Jacksonville Jaguars","DST","7","DST27","","299","369","","314.7"
"334","Jack Doyle","IND","14","TE41","","297","279","","288.0"
"335","Stephen Gostkowski","K31","","","","","250.0"
"336","Duke Johnson Jr.","RB95","","250","","","250.0"
"337","Larry Fitzgerald","WR106","","","","","256.0"
"338","Olamide Zaccheaus","ATL","6","WR107","","","259","","259.0"
"339","New York Jets","DST","6","DST28","","324","372","","319.3"
"340","Trace McSorley","BAL","8","QB38","","","","","260.0"
"341","Cameron Brate","TB","9","TE42","","","298","","294.0"
"342","Hunter Renfrow","LV","8","WR108","","311","345","","311.0"
"343","Marquez Callaway","NO","6","WR109","","","264","","264.0"
"344","Kyle Juszczyk","SF","6","RB96","","","","","265.0"
"345","Randall Cobb","GB","13","WR110","","268","336","","302.0"
"346","Randy Bullock","DET","9","K32","","","383","","326.5"
"347","Kylen Granson","IND","14","TE43","","","273","","273.0"
"348","D'Wayne Eskridge","SEA","9","WR111","","301","299","","300.0"
"349","Rashard Higgins","CLE","13","WR112","","","338","","305.5"
"350","C.J. Uzomah","CIN","10","TE44","","273","340","","306.5"
"351","Tyrod Taylor","HOU","10","QB39","","298","303","","300.5"
"352","Kerryon Johnson","PHI","14","RB97","","275","334","","304.5"
"353","Carlos Hyde","JAC","7","RB98","","303","326","","309.7"
"354","Jalen Richard","LV","8","RB99","","","276","","276.0"
"355","Chris Evans","CIN","10","RB100","","286","317","","301.5"
"356","Quintez Cephus","DET","9","WR113","","","277","","277.0"
"357","Mitchell Trubisky","BUF","7","QB40","","","307","","302.0"
"358","Qadree Ollison","ATL","6","RB101","","281","","","281.0"
"359","David Moore","CAR","13","WR114","","","323","","304.5"
"360","Kendrick Bourne","NE","14","WR115","","282","366","","324.0"
"361","Cincinnati Bengals","DST","10","DST29","","","","","283.0"
"362","Mike Boone","DEN","11","RB102","","","284","","284.0"
"363","Atlanta Falcons","DST","6","DST30","","","356","","320.0"
"364","Andy Dalton","CHI","10","QB41","","","293","","293.0"
"365","Houston Texans","DST","10","DST31","","","379","","336.0"
"366","Adam Humphries","WAS","9","WR116","","322","300","","311.0"
"367","James Washington","PIT","7","WR117","","","389","","342.0"
"368","Van Jefferson","LAR","11","WR118","","302","353","","327.5"
"369","Ito Smith","RB103","","304","346","","325.0"
"370","Jacob Hollister","BUF","7","TE45","","308","","","308.0"
"371","Tylan Wallace","BAL","8","WR119","","","309","","309.0"
"372","Jacob Harris","LAR","11","TE46","","309","","","309.0"
"373","Jalen Hurd","SF","6","WR120","","","310","","310.0"
"374","Khalil Herbert","CHI","10","RB104","","","312","","312.0"
"375","Jake Funk","LAR","11","RB105","","312","","","312.0"
"376","Rex Burkhead","HOU","10","RB106","","","313","","313.0"
"377","Dyami Brown","WAS","9","WR121","","313","355","","334.0"
"378","Tyler Conklin","MIN","7","TE47","","315","","","315.0"
"379","Will Dissly","SEA","9","TE48","","","316","","316.0"
"380","Cornell Powell","KC","12","WR122","","316","357","","336.5"
"381","Drew Sample","CIN","10","TE49","","","318","","318.0"
"382","Kalen Ballage","PIT","7","RB107","","","321","","321.0"
"383","Tutu Atwell","LAR","11","WR123","","321","371","","346.0"
"384","Deonte Harris","NO","6","WR124","","326","329","","327.5"
"385","D'Onta Foreman","RB108","","","333","","333.0"
"386","Devin Funchess","GB","13","WR125","","","339","","339.0"
"387","Ameer Abdullah","MIN","7","RB109","","","342","","342.0"
"388","Jonathan Williams","WAS","9","RB110","","","350","","350.0"
"389","Zach Pascal","IND","14","WR126","","","351","","351.0"
"390","Stephen Anderson","LAC","7","TE50","","","359","","359.0"
"391","Marcus Mariota","LV","8","QB42","","","363","","363.0"
"392","Marquise Goodwin","CHI","10","WR127","","","365","","365.0"
"393","KJ Hamler","DEN","11","WR128","","","367","","367.0"
"394","Lynn Bowden Jr.","MIA","14","WR129","","","374","","374.0"
"395","Detroit Lions","DST","9","DST32","","","376","","376.0"
"396","Donald Parham Jr.","LAC","7","TE51","","","377","","377.0"
"397","Antonio Gandy-Golden","WAS","9","WR130","","","378","","378.0"
"398","Keelan Cole Sr.","NYJ","6","WR131","","","380","","380.0"
"399","Preston Williams","MIA","14","WR132","","","382","","382.0"
"400","Jalen Guyton","LAC","7","WR133","","","384","","384.0"
"401","Cam Sims","WAS","9","WR134","","","385","","385.0"
"402","Shi Smith","CAR","13","WR135","","","386","","386.0"
"403","N'Keal Harry","NE","14","WR136","","","387","","387.0"
"404","Damiere Byrd","CHI","10","WR137","","","388","","388.0"
"405","Devin Smith","NE","14","WR138","","","390","","390.0"
""
""
