season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp
2013,PIT,isaac redman,00-0026566,55,176,3.0,5.0,4.0,14.0,0.0,6.0,10.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000005,4.6000000000000005,2.6000000000000005
2013,DAL,lance dunbar,00-0029004,51,543,9.0,7.0,7.0,59.0,0.0,-2.0,30.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,18.9,25.9,22.4
2013,DET,theo riddick,00-0030107,48,982,14.0,8.0,4.0,26.0,0.0,38.0,9.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,11.1,15.1,13.1
2013,PHI,chris polk,00-0029438,46,1023,15.0,5.0,4.0,61.0,0.0,11.0,11.0,98.0,3.0,0.0,0.0,0.0,0.0,0.0,33.900000000000006,37.900000000000006,35.900000000000006
2013,NYJ,alex green,00-0028034,44,804,13.0,2.0,2.0,8.0,0.0,-9.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,6.3,5.3
2013,IND,vick ballard,00-0029547,39,55,1.0,2.0,1.0,-5.0,0.0,-5.0,13.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,5.800000000000001,6.800000000000001,6.300000000000001
2013,DAL,phillip tanner,00-0028613,39,997,16.0,4.0,3.0,33.0,0.0,1.0,9.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,8.5,11.5,10.0
2013,NYG,michael cox,00-0030128,38,895,14.0,3.0,3.0,12.0,0.0,-4.0,22.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,8.5,7.0
2013,HOU,deji karim,00-0027779,36,473,7.0,2.0,1.0,-1.0,0.0,27.0,12.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000001,6.000000000000001,5.500000000000001
2013,MIA,marcus thigpen,00-0026577,33,1027,16.0,11.0,8.0,97.0,1.0,26.0,6.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,11.5,19.5,15.5
2013,MIN,joe banyard,00-0029048,30,182,3.0,1.0,1.0,11.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.1,1.6
2013,NYJ,mike goodson,00-0027080,30,104,2.0,3.0,2.0,19.0,0.0,6.0,7.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,9.0
2013,SF,lamichael james,00-0029260,28,616,10.0,3.0,2.0,16.0,0.0,-4.0,12.0,59.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,3.5,2.5
2013,ATL,antone smith,00-0026855,25,1009,15.0,3.0,2.0,10.0,0.0,46.0,5.0,145.0,2.0,0.0,0.0,0.0,0.0,0.0,27.5,29.5,28.5
2013,CAR,kenjon barner,00-0030465,23,427,8.0,3.0,2.0,7.0,0.0,-7.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5999999999999999,1.4000000000000001,0.40000000000000013
2013,DEN,cj anderson,00-0029854,21,311,5.0,1.0,0.0,0.0,0.0,6.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,3.8000000000000003,3.8000000000000003
2013,GB,michael hill,00-0030320,18,496,8.0,2.0,2.0,23.0,0.0,8.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,6.6000000000000005,5.6000000000000005
2013,IND,dan herron,00-0029588,17,406,6.0,1.0,1.0,57.0,0.0,-3.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,9.5
2013,PIT,larod stephens-howling,00-0026956,15,53,1.0,3.0,2.0,11.0,0.0,2.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0
2013,NE,leon washington,00-0024332,14,479,7.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9,-1.9,-1.9
2013,BAL,bernard scott,00-0026941,13,145,2.0,2.0,2.0,10.0,0.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,4.4,3.4000000000000004
2013,WAS,evan royster,00-0028115,12,722,10.0,1.0,1.0,3.0,0.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,1.3,0.8
2013,NO,travaris cadet,00-0029205,11,913,13.0,2.0,2.0,5.0,1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.5,7.5
2013,TB,jeff demps,00-0029722,10,148,2.0,3.0,3.0,21.0,0.0,-10.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.5,5.0
2013,HOU,ray graham,00-0030233,9,59,1.0,3.0,1.0,12.0,0.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.5
