Player,Team,Value,Value Rank,ADP Rank,Diff in ADP and Value,FantasyPoints
Latavius Murray,BUF,0.49326669119941874,219.0,289.5,70.5,53.39
Joshua Palmer,LAC,0.491939127720923,220.0,286.5,66.5,73.01
Noah Gray,KC,0.49065814541711117,221.0,344.0,123.0,44.05
Wan'Dale Robinson,NYG,0.4894936160500097,222.0,238.0,16.0,71.96
Luke Schoonmaker,DAL,0.48788656552340937,224.0,316.5,92.5,42.86
Tyquan Thornton,NE,0.4878632749360675,225.0,311.5,86.5,71.26
Matt Breida,NYG,0.48737417260188476,226.0,345.0,119.0,50.86000000000001
Kyler Murray,ARI,0.4856832759608531,227.0,195.0,-32.0,205.58599999999998
Israel Abanikanda,NYJ,0.4847190456448932,228.0,292.5,64.5,49.72
Mac Jones,NE,0.4831585762929768,229.0,198.0,-31.0,204.50199999999998
C.J. Stroud,HOU,0.4830933626484192,230.0,178.0,-52.0,204.474
Isaiah Spiller,LAC,0.48255302102208425,232.0,346.0,114.0,48.79
Zack Moss,IND,0.48180772222713925,234.0,311.5,77.5,48.47
Zamir White,LV,0.48108571401953626,236.0,188.0,-48.0,48.16
Kenyan Drake,IND,0.4794786634929361,240.0,342.0,102.0,47.470000000000006
Greg Dortch,ARI,0.47940879173091,241.0,310.0,69.0,67.63
Zach Evans,LAR,0.4771496047587329,244.0,279.5,35.5,46.47
Deuce Vaughn,DAL,0.4763111436144198,246.0,181.0,-65.0,46.11000000000001
Marvin Mims Jr.,DEN,0.47435473427768915,249.0,225.0,-24.0,65.46
Jalin Hyatt,NYG,0.4731203331485615,251.0,164.0,-87.0,64.93
Michael Wilson,ARI,0.4711406332244888,258.0,297.5,39.5,64.08
Terrace Marshall Jr.,CAR,0.4665989686927926,262.0,300.0,38.0,62.13
Eric Gray,NYG,0.4622436288598327,264.0,304.0,40.0,40.07
Michael Carter,NYJ,0.4611955524294412,265.0,223.0,-42.0,39.620000000000005
Sterling Shepard,NYG,0.4603803818724702,267.0,248.5,-18.5,59.46000000000001
Richie James Jr.,KC,0.45893636545726424,270.0,294.5,24.5,58.84
Sam Howell,WAS,0.45766469938838916,273.0,206.0,-67.0,193.556
Ke'Shawn Vaughn,TB,0.45628123850027263,275.0,343.0,68.0,37.510000000000005
Melvin Gordon III,BAL,0.4543015385761999,277.0,331.0,54.0,36.66
Darnell Washington,PIT,0.4517861551432604,279.0,301.0,22.0,27.360000000000003
Trey Palmer,TB,0.4508312410622372,283.0,355.0,72.0,55.35999999999999
Tank Dell,HOU,0.449177609360953,286.0,202.5,-83.5,54.65
Deon Jackson,IND,0.44878166937613845,288.0,265.0,-23.0,34.29
Josh Downs,IND,0.44854876350271816,289.0,279.5,-9.5,54.38
Raheem Blackshear,CAR,0.4470814565001701,290.0,348.0,58.0,33.56
Pierre Strong Jr.,NE,0.4460799612444628,292.0,289.5,-2.5,33.13
Jordan Mason,SF,0.44577718360901636,293.0,350.0,57.0,33.00000000000001
Brycen Hopkins,LAR,0.44454278247988865,297.0,320.0,23.0,24.250000000000004
Chris Rodriguez Jr.,WAS,0.4443564577811524,298.0,354.0,56.0,32.39000000000001
Trayveon Williams,CIN,0.44135197201403037,302.0,353.0,51.0,31.099999999999998
Sean Tucker,TB,0.4400942802975606,307.0,305.5,-1.5,30.559999999999995
Rico Dowdle,DAL,0.4387667168190648,311.0,351.0,40.0,29.990000000000002
Evan Hull,IND,0.4384639391836184,313.0,305.5,-7.5,29.86
Chris Evans,CIN,0.4380912897861459,316.0,347.0,31.0,29.700000000000003
DeWayne McBride,MIN,0.4362047522114414,319.0,291.0,-28.0,28.890000000000004
Malik Davis,DAL,0.43592526516333696,321.0,324.5,3.5,28.770000000000003
Desmond Ridder,ATL,0.42833719180730295,337.0,235.5,-101.5,180.964
D'Ernest Johnson,JAC,0.423418219760666,348.0,338.0,-10.0,23.4
Deneric Prince,KC,0.42234685274293254,353.0,296.0,-57.0,22.94
James Robinson,NYG,0.420413733993544,357.0,336.0,-21.0,22.11
Puka Nacua,LAR,0.4162680094466624,372.0,302.5,-69.5,40.519999999999996
Baker Mayfield,TB,0.41547612947703305,374.0,257.5,-116.5,175.44199999999998
